Datum von;(Uhrzeit) von;Zeitzone;(Uhrzeit) bis;Zeitzone;ID AEP in €/MWh
02.01.2024;22:45;CET;23:00;CET;34,280
02.01.2024;23:00;CET;23:15;CET;79,020
02.01.2024;23:15;CET;23:30;CET;38,240
02.01.2024;23:30;CET;23:45;CET;36,530
02.01.2024;23:45;CET;00:00;CET;55,460
03.01.2024;00:00;CET;00:15;CET;85,550
03.01.2024;00:15;CET;00:30;CET;64,950
03.01.2024;00:30;CET;00:45;CET;33,760
03.01.2024;00:45;CET;01:00;CET;17,080
03.01.2024;01:00;CET;01:15;CET;50,280
03.01.2024;01:15;CET;01:30;CET;61,610
03.01.2024;01:30;CET;01:45;CET;12,660
03.01.2024;01:45;CET;02:00;CET;-1,940
03.01.2024;02:00;CET;02:15;CET;38,690
03.01.2024;02:15;CET;02:30;CET;5,820
03.01.2024;02:30;CET;02:45;CET;5,550
03.01.2024;02:45;CET;03:00;CET;-0,690
03.01.2024;03:00;CET;03:15;CET;4,790
03.01.2024;03:15;CET;03:30;CET;-0,570
03.01.2024;03:30;CET;03:45;CET;0,780
03.01.2024;03:45;CET;04:00;CET;-1,820
03.01.2024;04:00;CET;04:15;CET;3,200
03.01.2024;04:15;CET;04:30;CET;3,770
03.01.2024;04:30;CET;04:45;CET;9,900
03.01.2024;04:45;CET;05:00;CET;29,520
03.01.2024;05:00;CET;05:15;CET;-0,690
03.01.2024;05:15;CET;05:30;CET;-3,770
03.01.2024;05:30;CET;05:45;CET;-0,910
03.01.2024;05:45;CET;06:00;CET;3,020
03.01.2024;06:00;CET;06:15;CET;12,340
03.01.2024;06:15;CET;06:30;CET;7,260
03.01.2024;06:30;CET;06:45;CET;50,050
03.01.2024;06:45;CET;07:00;CET;70,730
03.01.2024;07:00;CET;07:15;CET;32,060
03.01.2024;07:15;CET;07:30;CET;15,930
03.01.2024;07:30;CET;07:45;CET;22,300
03.01.2024;07:45;CET;08:00;CET;39,910
03.01.2024;08:00;CET;08:15;CET;65,120
03.01.2024;08:15;CET;08:30;CET;74,970
03.01.2024;08:30;CET;08:45;CET;74,030
03.01.2024;08:45;CET;09:00;CET;86,420
03.01.2024;09:00;CET;09:15;CET;94,270
03.01.2024;09:15;CET;09:30;CET;81,760
03.01.2024;09:30;CET;09:45;CET;54,870
03.01.2024;09:45;CET;10:00;CET;44,560
03.01.2024;10:00;CET;10:15;CET;54,200
03.01.2024;10:15;CET;10:30;CET;53,700
03.01.2024;10:30;CET;10:45;CET;38,340
03.01.2024;10:45;CET;11:00;CET;10,620
03.01.2024;11:00;CET;11:15;CET;14,460
03.01.2024;11:15;CET;11:30;CET;26,270
03.01.2024;11:30;CET;11:45;CET;20,260
03.01.2024;11:45;CET;12:00;CET;18,870
03.01.2024;12:00;CET;12:15;CET;50,720
03.01.2024;12:15;CET;12:30;CET;79,560
03.01.2024;12:30;CET;12:45;CET;95,500
03.01.2024;12:45;CET;13:00;CET;91,900
03.01.2024;13:00;CET;13:15;CET;85,870
03.01.2024;13:15;CET;13:30;CET;50,830
03.01.2024;13:30;CET;13:45;CET;47,240
03.01.2024;13:45;CET;14:00;CET;69,150
03.01.2024;14:00;CET;14:15;CET;43,280
03.01.2024;14:15;CET;14:30;CET;1,710
03.01.2024;14:30;CET;14:45;CET;24,630
03.01.2024;14:45;CET;15:00;CET;44,340
03.01.2024;15:00;CET;15:15;CET;6,500
03.01.2024;15:15;CET;15:30;CET;71,600
03.01.2024;15:30;CET;15:45;CET;77,380
03.01.2024;15:45;CET;16:00;CET;89,900
03.01.2024;16:00;CET;16:15;CET;64,260
03.01.2024;16:15;CET;16:30;CET;74,710
03.01.2024;16:30;CET;16:45;CET;78,630
03.01.2024;16:45;CET;17:00;CET;78,790
03.01.2024;17:00;CET;17:15;CET;84,660
03.01.2024;17:15;CET;17:30;CET;101,850
03.01.2024;17:30;CET;17:45;CET;103,090
03.01.2024;17:45;CET;18:00;CET;93,290
03.01.2024;18:00;CET;18:15;CET;80,450
03.01.2024;18:15;CET;18:30;CET;81,250
03.01.2024;18:30;CET;18:45;CET;73,980
03.01.2024;18:45;CET;19:00;CET;65,240
03.01.2024;19:00;CET;19:15;CET;87,420
03.01.2024;19:15;CET;19:30;CET;70,730
03.01.2024;19:30;CET;19:45;CET;95,870
03.01.2024;19:45;CET;20:00;CET;104,690
03.01.2024;20:00;CET;20:15;CET;105,830
03.01.2024;20:15;CET;20:30;CET;100,600
03.01.2024;20:30;CET;20:45;CET;90,830
03.01.2024;20:45;CET;21:00;CET;66,950
03.01.2024;21:00;CET;21:15;CET;83,000
03.01.2024;21:15;CET;21:30;CET;55,070
03.01.2024;21:30;CET;21:45;CET;40,520
03.01.2024;21:45;CET;22:00;CET;44,110
03.01.2024;22:00;CET;22:15;CET;71,700
03.01.2024;22:15;CET;22:30;CET;75,460
03.01.2024;22:30;CET;22:45;CET;83,170
03.01.2024;22:45;CET;23:00;CET;56,740
03.01.2024;23:00;CET;23:15;CET;93,560
03.01.2024;23:15;CET;23:30;CET;76,670
03.01.2024;23:30;CET;23:45;CET;58,480
03.01.2024;23:45;CET;00:00;CET;61,000
04.01.2024;00:00;CET;00:15;CET;69,100
04.01.2024;00:15;CET;00:30;CET;54,310
04.01.2024;00:30;CET;00:45;CET;65,690
04.01.2024;00:45;CET;01:00;CET;59,000
04.01.2024;01:00;CET;01:15;CET;55,810
04.01.2024;01:15;CET;01:30;CET;41,580
04.01.2024;01:30;CET;01:45;CET;9,670
04.01.2024;01:45;CET;02:00;CET;-12,170
04.01.2024;02:00;CET;02:15;CET;52,190
04.01.2024;02:15;CET;02:30;CET;30,390
04.01.2024;02:30;CET;02:45;CET;-4,820
04.01.2024;02:45;CET;03:00;CET;-16,210
04.01.2024;03:00;CET;03:15;CET;-3,100
04.01.2024;03:15;CET;03:30;CET;-2,040
04.01.2024;03:30;CET;03:45;CET;5,810
04.01.2024;03:45;CET;04:00;CET;7,530
04.01.2024;04:00;CET;04:15;CET;-4,050
04.01.2024;04:15;CET;04:30;CET;-3,550
04.01.2024;04:30;CET;04:45;CET;9,820
04.01.2024;04:45;CET;05:00;CET;50,230
04.01.2024;05:00;CET;05:15;CET;31,440
04.01.2024;05:15;CET;05:30;CET;48,000
04.01.2024;05:30;CET;05:45;CET;65,880
04.01.2024;05:45;CET;06:00;CET;79,280
04.01.2024;06:00;CET;06:15;CET;84,040
04.01.2024;06:15;CET;06:30;CET;71,250
04.01.2024;06:30;CET;06:45;CET;162,190
04.01.2024;06:45;CET;07:00;CET;127,560
04.01.2024;07:00;CET;07:15;CET;70,570
04.01.2024;07:15;CET;07:30;CET;80,470
04.01.2024;07:30;CET;07:45;CET;32,340
04.01.2024;07:45;CET;08:00;CET;40,670
04.01.2024;08:00;CET;08:15;CET;65,220
04.01.2024;08:15;CET;08:30;CET;70,900
04.01.2024;08:30;CET;08:45;CET;108,840
04.01.2024;08:45;CET;09:00;CET;107,630
04.01.2024;09:00;CET;09:15;CET;103,910
04.01.2024;09:15;CET;09:30;CET;-8,640
04.01.2024;09:30;CET;09:45;CET;34,950
04.01.2024;09:45;CET;10:00;CET;0,960
04.01.2024;10:00;CET;10:15;CET;31,560
04.01.2024;10:15;CET;10:30;CET;18,070
04.01.2024;10:30;CET;10:45;CET;82,520
04.01.2024;10:45;CET;11:00;CET;89,900
04.01.2024;11:00;CET;11:15;CET;113,050
04.01.2024;11:15;CET;11:30;CET;118,600
04.01.2024;11:30;CET;11:45;CET;125,780
