Datum;Zeitzone;von;bis;Einheit;AEP Modul 1;AEP Modul 2;AEP Modul 3
2024-01-02;CET;04:45;05:00;EUR/MWh;N.E.;-19,49;N.E.
2024-01-02;CET;05:00;05:15;EUR/MWh;N.E.;-9,50;N.E.
2024-01-02;CET;05:15;05:30;EUR/MWh;N.E.;-20,87;N.E.
2024-01-02;CET;05:30;05:45;EUR/MWh;N.E.;-7,82;N.E.
2024-01-02;CET;05:45;06:00;EUR/MWh;-29,94;N.E.;N.E.
2024-01-02;CET;06:00;06:15;EUR/MWh;-56,31;N.E.;N.E.
2024-01-02;CET;06:15;06:30;EUR/MWh;-56,70;N.E.;N.E.
2024-01-02;CET;06:30;06:45;EUR/MWh;-58,46;N.E.;N.E.
2024-01-02;CET;06:45;07:00;EUR/MWh;-53,83;N.E.;N.E.
2024-01-02;CET;07:00;07:15;EUR/MWh;-53,76;N.E.;N.E.
2024-01-02;CET;07:15;07:30;EUR/MWh;-20,56;N.E.;N.E.
2024-01-02;CET;07:30;07:45;EUR/MWh;-48,13;N.E.;N.E.
2024-01-02;CET;07:45;08:00;EUR/MWh;-24,31;N.E.;N.E.
2024-01-02;CET;08:00;08:15;EUR/MWh;80,80;N.E.;N.E.
2024-01-02;CET;08:15;08:30;EUR/MWh;N.E.;98,93;N.E.
2024-01-02;CET;08:30;08:45;EUR/MWh;N.E.;98,66;N.E.
2024-01-02;CET;08:45;09:00;EUR/MWh;N.E.;111,61;N.E.
2024-01-02;CET;09:00;09:15;EUR/MWh;N.E.;109,65;N.E.
2024-01-02;CET;09:15;09:30;EUR/MWh;N.E.;144,68;N.E.
2024-01-02;CET;09:30;09:45;EUR/MWh;N.E.;143,57;N.E.
2024-01-02;CET;09:45;10:00;EUR/MWh;N.E.;88,96;N.E.
2024-01-02;CET;10:00;10:15;EUR/MWh;11,40;N.E.;N.E.
2024-01-02;CET;10:15;10:30;EUR/MWh;N.E.;59,68;N.E.
2024-01-02;CET;10:30;10:45;EUR/MWh;63,07;N.E.;N.E.
2024-01-02;CET;10:45;11:00;EUR/MWh;79,73;N.E.;N.E.
2024-01-02;CET;11:00;11:15;EUR/MWh;97,15;N.E.;N.E.
2024-01-02;CET;11:15;11:30;EUR/MWh;100,84;N.E.;N.E.
2024-01-02;CET;11:30;11:45;EUR/MWh;N.E.;128,85;N.E.
2024-01-02;CET;11:45;12:00;EUR/MWh;N.E.;141,74;N.E.
2024-01-02;CET;12:00;12:15;EUR/MWh;N.E.;149,76;N.E.
2024-01-02;CET;12:15;12:30;EUR/MWh;N.E.;115,24;N.E.
2024-01-02;CET;12:30;12:45;EUR/MWh;81,00;N.E.;N.E.
2024-01-02;CET;12:45;13:00;EUR/MWh;60,01;N.E.;N.E.
2024-01-02;CET;13:00;13:15;EUR/MWh;104,69;N.E.;N.E.
2024-01-02;CET;13:15;13:30;EUR/MWh;17,51;N.E.;N.E.
2024-01-02;CET;13:30;13:45;EUR/MWh;108,95;N.E.;N.E.
2024-01-02;CET;13:45;14:00;EUR/MWh;103,17;N.E.;N.E.
2024-01-02;CET;14:00;14:15;EUR/MWh;102,92;N.E.;N.E.
2024-01-02;CET;14:15;14:30;EUR/MWh;103,62;N.E.;N.E.
2024-01-02;CET;14:30;14:45;EUR/MWh;106,49;N.E.;N.E.
2024-01-02;CET;14:45;15:00;EUR/MWh;102,17;N.E.;N.E.
2024-01-02;CET;15:00;15:15;EUR/MWh;105,38;N.E.;N.E.
2024-01-02;CET;15:15;15:30;EUR/MWh;109,86;N.E.;N.E.
2024-01-02;CET;15:30;15:45;EUR/MWh;112,01;N.E.;N.E.
2024-01-02;CET;15:45;16:00;EUR/MWh;-1,29;N.E.;N.E.
2024-01-02;CET;16:00;16:15;EUR/MWh;N.E.;118,25;N.E.
2024-01-02;CET;16:15;16:30;EUR/MWh;105,65;N.E.;N.E.
2024-01-02;CET;16:30;16:45;EUR/MWh;109,53;N.E.;N.E.
2024-01-02;CET;16:45;17:00;EUR/MWh;109,01;N.E.;N.E.
2024-01-02;CET;17:00;17:15;EUR/MWh;57,22;N.E.;N.E.
2024-01-02;CET;17:15;17:30;EUR/MWh;102,81;N.E.;N.E.
2024-01-02;CET;17:30;17:45;EUR/MWh;95,00;N.E.;N.E.
2024-01-02;CET;17:45;18:00;EUR/MWh;106,23;N.E.;N.E.
2024-01-02;CET;18:00;18:15;EUR/MWh;-6,72;N.E.;N.E.
2024-01-02;CET;18:15;18:30;EUR/MWh;-32,11;N.E.;N.E.
2024-01-02;CET;18:30;18:45;EUR/MWh;-15,76;N.E.;N.E.
2024-01-02;CET;18:45;19:00;EUR/MWh;111,83;N.E.;N.E.
2024-01-02;CET;19:00;19:15;EUR/MWh;-37,38;N.E.;N.E.
2024-01-02;CET;19:15;19:30;EUR/MWh;-14,70;N.E.;N.E.
2024-01-02;CET;19:30;19:45;EUR/MWh;45,89;N.E.;N.E.
2024-01-02;CET;19:45;20:00;EUR/MWh;95,00;N.E.;N.E.
2024-01-02;CET;20:00;20:15;EUR/MWh;114,91;N.E.;N.E.
2024-01-02;CET;20:15;20:30;EUR/MWh;114,15;N.E.;N.E.
2024-01-02;CET;20:30;20:45;EUR/MWh;105,70;N.E.;N.E.
2024-01-02;CET;20:45;21:00;EUR/MWh;96,99;N.E.;N.E.
2024-01-02;CET;21:00;21:15;EUR/MWh;N.E.;129,80;N.E.
2024-01-02;CET;21:15;21:30;EUR/MWh;N.E.;128,36;N.E.
2024-01-02;CET;21:30;21:45;EUR/MWh;96,99;N.E.;N.E.
2024-01-02;CET;21:45;22:00;EUR/MWh;114,03;N.E.;N.E.
2024-01-02;CET;22:00;22:15;EUR/MWh;515,10;N.E.;N.E.
2024-01-02;CET;22:15;22:30;EUR/MWh;N.E.;325,12;N.E.
2024-01-02;CET;22:30;22:45;EUR/MWh;N.E.;127,32;N.E.
2024-01-02;CET;22:45;23:00;EUR/MWh;96,99;N.E.;N.E.
2024-01-02;CET;23:00;23:15;EUR/MWh;119,97;N.E.;N.E.
2024-01-02;CET;23:15;23:30;EUR/MWh;116,84;N.E.;N.E.
2024-01-02;CET;23:30;23:45;EUR/MWh;107,13;N.E.;N.E.
2024-01-02;CET;23:45;00:00;EUR/MWh;96,99;N.E.;N.E.
2024-01-03;CET;00:00;00:15;EUR/MWh;112,09;N.E.;N.E.
2024-01-03;CET;00:15;00:30;EUR/MWh;85,21;N.E.;N.E.
2024-01-03;CET;00:30;00:45;EUR/MWh;86,03;N.E.;N.E.
2024-01-03;CET;00:45;01:00;EUR/MWh;85,34;N.E.;N.E.
2024-01-03;CET;01:00;01:15;EUR/MWh;-22,93;N.E.;N.E.
2024-01-03;CET;01:15;01:30;EUR/MWh;-20,11;N.E.;N.E.
2024-01-03;CET;01:30;01:45;EUR/MWh;-18,02;N.E.;N.E.
2024-01-03;CET;01:45;02:00;EUR/MWh;N.E.;-2,91;N.E.
2024-01-03;CET;02:00;02:15;EUR/MWh;85,15;N.E.;N.E.
2024-01-03;CET;02:15;02:30;EUR/MWh;84,36;N.E.;N.E.
2024-01-03;CET;02:30;02:45;EUR/MWh;84,25;N.E.;N.E.
2024-01-03;CET;02:45;03:00;EUR/MWh;-37,44;N.E.;N.E.
2024-01-03;CET;03:00;03:15;EUR/MWh;84,67;N.E.;N.E.
2024-01-03;CET;03:15;03:30;EUR/MWh;-35,67;N.E.;N.E.
2024-01-03;CET;03:30;03:45;EUR/MWh;84,25;N.E.;N.E.
2024-01-03;CET;03:45;04:00;EUR/MWh;84,25;N.E.;N.E.
2024-01-03;CET;04:00;04:15;EUR/MWh;84,34;N.E.;N.E.
2024-01-03;CET;04:15;04:30;EUR/MWh;84,34;N.E.;N.E.
2024-01-03;CET;04:30;04:45;EUR/MWh;84,34;N.E.;N.E.
2024-01-03;CET;04:45;05:00;EUR/MWh;-55,07;N.E.;N.E.
2024-01-03;CET;05:00;05:15;EUR/MWh;-31,58;N.E.;N.E.
2024-01-03;CET;05:15;05:30;EUR/MWh;-28,69;N.E.;N.E.
2024-01-03;CET;05:30;05:45;EUR/MWh;-6,61;N.E.;N.E.
2024-01-03;CET;05:45;06:00;EUR/MWh;100,19;N.E.;N.E.
2024-01-03;CET;06:00;06:15;EUR/MWh;103,85;N.E.;N.E.
2024-01-03;CET;06:15;06:30;EUR/MWh;104,36;N.E.;N.E.
2024-01-03;CET;06:30;06:45;EUR/MWh;108,92;N.E.;N.E.
2024-01-03;CET;06:45;07:00;EUR/MWh;104,10;N.E.;N.E.
2024-01-03;CET;07:00;07:15;EUR/MWh;-34,80;N.E.;N.E.
2024-01-03;CET;07:15;07:30;EUR/MWh;-17,23;N.E.;N.E.
