Datum;Zeitzone;von;bis;Einheit;50Hertz (Positiv);Amprion (Positiv);TenneT TSO (Positiv);TransnetBW (Positiv);Deutschland (Positiv);50Hertz (Negativ);Amprion (Negativ);TenneT TSO (Negativ);TransnetBW (Negativ);Deutschland (Negativ)
02.01.2024;CET;04:45;05:00;MW;0,000;0,000;0,000;0,000;0,000;16,276;19,420;15,036;3,536;54,268
02.01.2024;CET;05:00;05:15;MW;0,000;0,000;0,000;0,000;0,000;5,356;6,392;4,948;1,164;17,860
02.01.2024;CET;05:15;05:30;MW;19,416;23,168;17,940;4,216;64,740;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;05:30;05:45;MW;0,060;0,072;0,056;0,012;0,200;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;05:45;06:00;MW;0,000;0,000;0,000;0,000;0,000;39,332;46,928;36,336;8,544;131,140
02.01.2024;CET;06:00;06:15;MW;0,000;0,000;0,000;0,000;0,000;59,568;71,080;55,036;12,940;198,624
02.01.2024;CET;06:15;06:30;MW;0,000;0,000;0,000;0,000;0,000;43,776;52,236;40,444;9,508;145,964
02.01.2024;CET;06:30;06:45;MW;9,512;11,348;8,788;2,068;31,716;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;06:45;07:00;MW;0,000;0,000;0,000;0,000;0,000;3,860;4,604;3,568;0,840;12,872
02.01.2024;CET;07:00;07:15;MW;0,000;0,000;0,000;0,000;0,000;74,200;88,536;68,548;16,116;247,400
02.01.2024;CET;07:15;07:30;MW;0,000;0,000;0,000;0,000;0,000;2,224;2,652;2,056;0,484;7,416
02.01.2024;CET;07:30;07:45;MW;27,072;32,300;25,012;5,880;90,264;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;07:45;08:00;MW;20,956;25,004;19,360;4,552;69,872;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;08:00;08:15;MW;0,000;0,000;0,000;0,000;0,000;6,820;9,136;7,072;1,664;24,692
02.01.2024;CET;08:15;08:30;MW;3,140;4,204;3,256;0,764;11,364;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;08:30;08:45;MW;3,200;4,284;3,316;0,780;11,580;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;08:45;09:00;MW;6,416;8,592;6,652;1,564;23,224;0,000;0,000;0,000;0,000;0,000
